,hotel,price,score,review_number
123,보우 힐,"₩68,980",4.5,7
124,백패커스홈,"₩40,500",4.5,66
125,호텔 윈 스카이,"₩54,594",4,12
126,루체빌리조트,"₩47,822",4,13
127,골드원 호텔&스위트,"₩186,749",5,12
128,유 & 아이 게스트하우스,"₩35,622",4.5,71
129,담&루,"₩73,582",4.5,9
130,베이스캠프 게스트하우스,"₩39,999",5,3
131,통나무 파크,"₩84,033",4,5
132,가산토방,"₩408,368",4.5,42
133,호텔 통 연동,"₩33,632",4,9
134,캠퍼트리 호텔 & 리조트,"₩357,500",4.5,3
135,숨 게스트하우스 제주 공항점,"₩14,524",4.5,45
136,비치 스토리 호텔,"₩45,000",4,18
137,킴스 캐빈 게스트하우스,"₩49,999",4.5,7
138,제주스테이 호텔,"₩29,713",4,15
139,호텔가온제이스테이,"₩30,000",4,55
140,호텔위드제주,"₩51,740",3.5,20
141,티파니에서 아침을,"₩130,000",4.5,47
142,호텔 W 신제주점,"₩65,000",4,63
143,일레인 호텔,"₩50,249",4,13
144,비케이 호텔 제주,"₩43,945",4,40
145,중문 통나무 펜션 & 리조트,"₩78,995",4.5,26
146,샨티샨티 게스트하우스,"₩55,000",5,15
147,대동호텔,"₩52,251",4,25
148,구덕게스트하우스,"₩37,780",3.5,73
149,윈스토리 호텔,"₩43,571",4.5,15
150,메모리아 리조트,"₩58,983",5,3
151,코지사이,"₩399,916",5,4
152,늘송 파크텔,"₩29,844",4,41
153,이린 펜션,"₩100,000",4.5,50
154,메이 더 호텔,"₩31,855",4,12
155,R&T호텔,"₩33,345",3.5,12
156,한화 리조트 제주,"₩118,000",3.5,78
157,호텔 빠레브,"₩40,715",4,30
158,취다선 리조트,"₩288,000",5,2
159,휴안스테이 호텔,"₩33,901",4.5,2
160,제주 꿈꾸는 숲 펜션,"₩65,001",5,16
161,레지던스 예그린 하우스,"₩38,484",4,5
162,호스텔 마로,"₩30,600",4,17
163,뱅디가름B&B,"₩77,778",5,2
164,어반아일랜드 호텔,"₩56,500",4,19
165,호텔 연,"₩39,799",4,5
166,민중각 게스트하우스,"₩23,942",4,24
167,리치호텔,"₩80,190",4.5,3
168,제주 마실 게스트하우스,"₩30,365",4,4
169,마레보 리조트,"₩121,305",4.5,15
170,메모리 인 제주 펜션,"₩67,548",4.5,19
171,Gudeok Guesthouse,"₩36,000",5,2
172,에이원 호텔,"₩46,439",4.5,9
173,엠제이 호텔,"₩89,999",4,20
174,제주 그린데이 게스트하우스,"₩33,003",4,28
175,하버 호텔,"₩52,247",4,11
176,미몽,"₩33,285",4.5,10
177,활엽수 게스트하우스,"₩76,471",5,7
178,초이 호스텔 제주,"₩40,414",4.5,12
179,씨앤호텔,"₩29,000",3.5,22
180,밸류호텔 월드와이드 서귀포 JS,"₩51,615",3,26
181,제주다와 풀빌라,"₩100,000",5,2
182,해피하우스 펜션,"₩41,859",4.5,4
183,올레 관광호텔,"₩35,777",4,13
184,제주 브릭스 호텔,"₩106,102",5,2
185,제주 중문 빌리지,"₩83,701",3.5,7
186,블루스프링 부띠끄호텔,"₩82,751",3.5,3
