,location,rating,number_of_reviews,date,trip type
0,,4.0,4건,2016년 3월,커플로 여행함
1,,,,2015년 12월,친구와 여행함
2,,,,2015년 3월,친구와 여행함
3,,,,2017년 4월,친구와 여행함
