,location,rating,number_of_reviews,date,trip type
102,,,,2018년 1월,나 혼자 여행함
103,,,,2017년 12월,커플로 여행함
104,,,,2017년 11월,가족과 여행함
105,,,,2017년 11월,커플로 여행함
106,,,,2017년 2월,커플로 여행함
107,,,,2017년 7월,가족과 여행함
108,,,,2017년 12월,나 혼자 여행함
109,,,,2017년 5월,친구와 여행함
110,,,,2017년 6월,가족과 여행함
111,,,,2017년 5월,나 혼자 여행함
112,,,,2017년 5월,친구와 여행함
113,,,,2017년 9월,나 혼자 여행함
114,,,,2017년 9월,가족과 여행함
115,,,,2017년 9월,커플로 여행함
116,,,,2017년 11월,가족과 여행함
117,,,,2017년 11월,친구와 여행함
118,,,,2017년 11월,커플로 여행함
119,,,,2017년 7월,나 혼자 여행함
120,,,,2017년 10월,나 혼자 여행함
121,,,,2017년 11월,나 혼자 여행함
122,,,,2017년 3월,나 혼자 여행함
123,,,,2017년 7월,가족과 여행함
124,,,,2017년 1월,커플로 여행함
125,,,,2017년 11월,커플로 여행함
126,,,,2016년 9월,가족과 여행함
127,,,,2017년 11월,가족과 여행함
128,,,,2017년 11월,나 혼자 여행함
129,,,,2017년 9월,가족과 여행함
130,,,,2017년 11월,가족과 여행함
131,,,,2017년 11월,가족과 여행함
132,,,,2017년 8월,가족과 여행함
133,,,,2017년 11월,가족과 여행함
134,,,,2017년 11월,커플로 여행함
135,,,,2017년 6월,나 혼자 여행함
136,,,,2017년 4월,가족과 여행함
137,,,,2017년 11월,커플로 여행함
138,,,,2017년 10월,커플로 여행함
139,,,,2017년 10월,친구와 여행함
140,,,,2017년 10월,친구와 여행함
141,,,,2017년 8월,가족과 여행함
142,,,,2017년 10월,나 혼자 여행함
143,,,,2017년 10월,나 혼자 여행함
144,,,,2017년 4월,가족과 여행함
145,,,,2017년 10월,가족과 여행함
146,,,,2017년 9월,친구와 여행함
147,,,,2017년 10월,가족과 여행함
148,,,,2017년 9월,나 혼자 여행함
149,,,,2017년 5월,친구와 여행함
150,,,,2017년 9월,친구와 여행함
151,,,,2016년 11월,가족과 여행함
152,,,,2017년 9월,가족과 여행함
153,,,,2017년 9월,커플로 여행함
154,,,,2016년 10월,친구와 여행함
155,,,,2017년 9월,나 혼자 여행함
156,,,,2017년 8월,커플로 여행함
157,,,,2017년 8월,가족과 여행함
158,,,,2017년 8월,나 혼자 여행함
159,,,,2017년 7월,친구와 여행함
160,,,,2017년 8월,커플로 여행함
161,,,,2017년 8월,커플로 여행함
162,,,,2017년 8월,친구와 여행함
163,,,,2017년 8월,나 혼자 여행함
164,,,,2017년 8월,커플로 여행함
165,,,,2017년 7월,나 혼자 여행함
166,,,,2017년 7월,커플로 여행함
167,,,,2017년 7월,나 혼자 여행함
168,,,,2017년 5월,가족과 여행함
169,,,,2016년 12월,가족과 여행함
170,,,,2016년 8월,가족과 여행함
171,,,,2017년 7월,가족과 여행함
172,,,,2017년 6월,가족과 여행함
173,,,,2017년 7월,나 혼자 여행함
174,,,,2016년 12월,가족과 여행함
175,,,,2017년 1월,가족과 여행함
176,,,,2017년 6월,가족과 여행함
177,,,,2017년 6월,가족과 여행함
178,,,,2017년 4월,친구와 여행함
179,,,,2017년 5월,커플로 여행함
180,,,,2017년 4월,커플로 여행함
181,,,,2017년 6월,친구와 여행함
182,,,,2017년 5월,커플로 여행함
183,,,,2017년 3월,나 혼자 여행함
184,,,,2017년 3월,가족과 여행함
185,,,,2017년 5월,나 혼자 여행함
186,,,,2017년 5월,커플로 여행함
187,,,,2017년 5월,나 혼자 여행함
188,,,,2017년 5월,가족과 여행함
189,,,,2017년 4월,출장 목적으로 여행함
190,,,,2017년 3월,커플로 여행함
191,,,,2017년 3월,가족과 여행함
192,,,,2017년 4월,친구와 여행함
193,,,,2017년 3월,친구와 여행함
194,,,,2017년 4월,친구와 여행함
195,,,,2017년 3월,가족과 여행함
196,,,,2017년 3월,커플로 여행함
197,,,,2017년 3월,친구와 여행함
198,,,,2017년 2월,친구와 여행함
199,,,,2016년 10월,나 혼자 여행함
200,,,,2017년 3월,나 혼자 여행함
201,,,,2016년 12월,커플로 여행함
202,,,,2017년 1월,친구와 여행함
203,,,,2016년 11월,친구와 여행함
204,,,,2017년 2월,가족과 여행함
205,,,,2017년 2월,가족과 여행함
206,,,,2016년 3월,커플로 여행함
207,,,,2017년 2월,가족과 여행함
208,,,,2017년 2월,가족과 여행함
209,,,,2017년 2월,가족과 여행함
210,,,,2017년 2월,친구와 여행함
211,,,,2016년 8월,나 혼자 여행함
212,,,,2016년 5월,가족과 여행함
213,,,,2017년 1월,나 혼자 여행함
214,,,,2016년 3월,커플로 여행함
215,,,,2016년 2월,커플로 여행함
216,,,,2017년 1월,커플로 여행함
217,,,,2017년 1월,커플로 여행함
218,,,,2016년 12월,커플로 여행함
219,,,,2016년 10월,가족과 여행함
220,,,,2016년 12월,친구와 여행함
221,,,,2016년 12월,가족과 여행함
222,,,,2016년 12월,커플로 여행함
223,,,,2016년 3월,친구와 여행함
224,,,,2016년 11월,가족과 여행함
225,,,,2016년 12월,커플로 여행함
226,,,,2016년 10월,가족과 여행함
227,,,,2016년 2월,나 혼자 여행함
228,,,,2016년 12월,커플로 여행함
229,,,,2015년 12월,나 혼자 여행함
230,,,,2016년 11월,커플로 여행함
231,,,,2016년 6월,커플로 여행함
232,,,,2016년 10월,친구와 여행함
233,,,,2016년 11월,친구와 여행함
234,,,,2016년 3월,커플로 여행함
235,,,,2016년 10월,가족과 여행함
236,,,,2015년 12월,커플로 여행함
237,,,,2016년 9월,커플로 여행함
238,,,,2016년 6월,가족과 여행함
